,Katun Hitam,Katun Putih,Polyester Hitam,Polyester Putih
mean_R,63.459156,150.761029,57.478453,155.349279
mean_G,73.925896,167.005546,63.883607,170.783558
mean_B,84.518829,181.015702,71.215896,185.316931
contrast_R,5.600573,4.486605,6.027339,4.332513
dissimilarity_R,1.895204,1.86423,2.003789,1.844213
homogeneity_R,0.435891,0.395755,0.418882,0.386286
energy_R,0.128406,0.232309,0.12724,0.274934
correlation_R,0.0,0.0,0.0,0.0
entropy_R,2.170807,1.769553,2.179589,1.659553
contrast_G,5.60067,4.486287,6.01228,4.332193
dissimilarity_G,1.895211,1.864386,1.999681,1.844096
homogeneity_G,0.435895,0.395621,0.419352,0.38625
energy_G,0.12841,0.232488,0.127384,0.275277
correlation_G,0.0,0.0,0.0,0.0
entropy_G,2.170798,1.769071,2.179143,1.658789
contrast_B,5.60093,4.487579,6.020731,4.333656
dissimilarity_B,1.895282,1.864188,2.00167,1.844349
homogeneity_B,0.435879,0.395876,0.419083,0.386269
energy_B,0.128397,0.232173,0.127201,0.275058
correlation_B,0.0,0.0,0.0,0.0
entropy_B,2.170845,1.769965,2.17988,1.659418
